first,second
AA,DD
AB,DD
AF,BA
DD,DA
CD,EC
DD,CE
CD,FA
CD,CC
BA,AF
CB,CA
CC,CA
CD,CA
BC,CA
DD,DA
ED,AD
AE,AC
AB,BA
CD,EC
CA,CC
EB,CC
BF,CE
BB,CD
AC,AE
CC,FB
DC,BB
BD,CF
DB,DA
DD,DA
DB,DD
BC,AF
CF,DE
DF,BF
CB,CA
BE,CA
EA,CA
CB,CA
CB,CA
CC,CA
CD,CA
BC,CA
BF,CA
CE,CA
AC,AD
BD,BE
AE,DF
CB,DF
AC,DF
AA,DD
AA,DD
AA,DD
CD,DD
AA,DD
EE,DD
CD,DD
DB,AA
AA,FC
BE,CC
EF,FD
CF,FE
BB,DD
CD,DD
BA,AB
CD,EC
BE,EE
CE,CC
CD,CC
ED,CC
BB,CC
BE,CE
DD,CE
AC,CD
ED,CD
FF,CD
AC,CD
DD,CD
DD,CD
AE,GA
AE,GA
AE,GA
AE,GA
BA,ED
BE,ED
EB,ED
CD,ED
FD,EF
FD,EF
CD,BB
BF,BB
BC,BB
BB,CF
AE,AC
DD,DA
BE,CA
BE,CA
CB,CA
CB,CA
CC,CA
BE,CC
BE,CC
DB,DD
BE,CD
ED,CD
ED,CD
BB,CD
BC,CD
ED,AF
BF,AF
CF,AF
BC,AF
GB,BC
AF,BC
AF,BC
AC,BA
AB,BA
CF,AE
DB,AA
DF,AA
GC,AA
ED,BF
AF,BF
BF,CA
CC,CA
AC,CA
AE,CA
CB,CA
CC,CA
AC,AD
AF,BA
AF,BA
BB,BE
CC,BE
CC,BE
CC,BE
CB,DF
CB,DF
CB,DF
AA,DD
AA,DD
AA,DD
CD,DD
CD,DD
AA,DD
BC,DD
DB,AA
EA,FD
EF,FD
CC,GE
AA,DD
BE,EE
BE,EE
GD,CC
BB,CC
CA,CC
CD,CC
CA,CC
BB,CC
DF,CE
CA,CE
AE,GA
DC,ED
BB,ED
CD,ED
BF,ED
DF,ED
CC,KB
AD,EA
EF,EA
CF,KC
EE,BB
CC,BB
BC,BB
CD,KD
AE,CF
DF,AC
DF,AC
ED,AC
KA,CA
BB,CA
CB,CA
CC,CA
EB,CA
BE,CC
BE,CD
CB,CD
CB,KE
ED,AB
AB,KF
BA,AF
CC,AF
CA,AF
BC,AF
ED,BC
AC,BA
DF,BF
CA,BF
CB,CA
AC,CA
CC,CA
CC,CA
CC,CA
CC,CA
EB,CA
BC,CA
CB,CA
CC,CA
EB,CA
ED,AD
AD,BA
KA,BA
CF,BA
AB,BA
CB,DF
CB,DF
AC,DF
CD,DD
CD,DD
CD,DD
BC,DD
BC,DD
AA,FE
BA,EE
BB,CC
CA,CC
CA,CD
EB,ED
FD,EF
FD,EA
EF,EA
KF,EA
BC,BB
AE,CB
BA,AC
CB,AC
CB,AC
CB,CA
AC,CA
CC,CA
CC,CA
CC,CA
BD,CC
BE,CC
ED,CC
CA,CC
CD,CC
CD,DD
DF,AF
BA,AF
BA,AF
ED,AF
BC,AF
BA,BC
CA,BC
CA,BC
CF,DE
ED,AA
DF,BF
CC,CA
CC,CA
CC,CA
ED,BA
AB,BA
CD,LB
BA,LA
BB,CC
AC,CE
CA,CE
ED,KF
FD,EF
KA,BB
ED,BB
EB,BB
DF,CF
AD,AC
DF,AC
DF,AC
DB,DA
DB,DA
LC,CA
BA,AF
CF,BD
AF,LD
AD,AE
AC,AE
AC,EA
DF,CB
AD,AC
CD,DD
BA,LE
BA,AB
CB,DF
